,name
0,Ángel Di María
5,Sergi Darder
9,Rafael
11,Olivier Kemen
12,Ivan Cavaleiro
15,Rony Lopes
17,Guido Carrillo
18,Fabinho
19,Gil Dias
25,Lucas Ocampos
28,Georges-Kevin N'Koudou
29,Rolando
30,Mauricio Isla
31,Lucas Silva
33,Robert Beric
38,Pablo
39,Milan Gajic
42,Casimir Ninga
44,Eric Bauthéac
46,Junior Tallo
50,Serhou Guirassy
51,Giovanni Sio
54,Juan Fernando Quintero
64,Kolbeinn Sigthórsson
67,Lorik Cana
70,Majeed Waris
71,Benjamin Moukandjo
74,Somália
75,Mauro Goicoechea
76,Christian Bekamenga
77,Jemerson
78,Vágner Love
79,Ole Selnaes
81,Alexander Söderlund
82,Malcom
83,Mauro Arambarri
84,Kermit Erasmus
90,Arturo Vidal
91,Douglas Costa
97,Dante
98,Francisco Rodríguez
99,Carlos Ascues
101,Josip Drmic
106,Charles Aránguiz
107,Chicharito
112,Ja-cheol Koo
117,Matija Nastasic
118,Franco Di Santo
119,Júnior Caiçara
120,Pierre-Emile Höjbjerg
122,Gonzalo Castro
124,Ju-ho Park
126,Eduardo Vargas
127,Fabian Schär
129,Pavel Kaderabek
131,Joelinton
132,Felipe Pires
133,Marko Maric
134,Antonio Colak
136,Lukas Hradecky
137,David Abraham
138,Mijat Gacinovic
141,Ulisses Garcia
143,Yoshinori Muto
146,Jhon Córdoba
149,Milos Jojic
151,Frederik Sörensen
154,Mevlüt Erdinc
156,Uffe Bech
157,Charlison Benschop
158,Mitchell Langerak
159,Toni Sunjic
161,Przemyslaw Tyton
164,Vladimir Darida
166,Lewis Holtby
171,Gotoku Sakai
172,Batuhan Altintas
175,Örjan Nyland
178,Mario Vrancic
181,Serdar Tasci
182,Bruno Henrique
189,Marco Fabián
193,Papy Djilobodji
199,Filip Mladenovic
202,Hotaru Yamaguchi
209,Raúl Jiménez
212,Jhon Murillo
213,Ederson
214,Diego Lopes
215,Giannelli Imbula
216,Jesús Corona
217,Danilo Pereira
218,André André
219,Sérgio Oliveira
220,Miguel Layún
221,Teófilo Gutiérrez
222,Naldo
223,Ewerton
224,Bryan Ruíz
225,Alef
226,Nikola Stojiljkovic
227,Ahmed Hassan
228,Crislan
229,Rodrigo Pinho
230,Ricardo Ferreira
231,Arghus
232,William Pottker
233,Tozé
234,Dalbert
235,Henrique Dourado
236,Betinho
237,Filip Krovinovic
238,Edimar
239,Léo Bonatini
240,Luka Jovic
241,Alejandro Grimaldo
243,Hyun-jun Suk
245,Sebastián Coates
246,Marafona
247,Gastón Pereiro
249,Héctor Moreno
250,Andrés Guardado
259,Rajko Brezancic
261,Eric Botteghin
264,Sheran Yeini
267,Luka Zahovic
283,Renato Tapia
284,Kosuke Ota
286,Alexander Sörloth
289,Paulo Dybala
290,Alex Sandro
291,Mario Mandzukic
293,Roberto Pereyra
294,Hernanes
297,Juan Cuadrado
298,Andrés Tello
299,Mame Thiam
300,Joyce Anacoura
304,Leandro Paredes
305,Víctor Ibarbo
306,Mohamed Salah
307,Ezequiel Ponce
308,Nemanja Radonjic
309,Edin Dzeko
312,Iago Falque
315,Norbert Gyomber
316,Umar Sadiq
317,Sergej Milinkovic-Savic
318,Dusan Basta
319,Ricardo Kishna
320,Maurício
321,Patric
322,Mario Suárez
323,Nikola Kalinic
324,Jaime Báez
325,Gilberto
327,Jakub Blaszczykowski
330,Allan
331,Vlad Chiriches
334,Pepe Reina
339,Michael Ventre
341,Diego Capel
342,Cristian Ansaldi
344,Luis Muriel
345,Fernando
346,Ervin Zukanovic
347,Lucas Torreira
348,Alfred Duncan
350,Pedro Pereira
352,Ivan Perisic
354,Jeison Murillo
355,Felipe Melo
356,Miranda
358,Vincenzo Tommasone
359,Stevan Jovetic
360,Adem Ljajic
361,Alex Telles
362,Martín Montoya
367,Joel Obi
368,Danilo Avelar
369,Salvador Ichazo
370,Carlos Bacca
372,Luiz Adriano
379,Matheus Cassini
383,Grégoire Defrel
385,Giovanni Sbrissa
387,Filip Helander
390,Lucas Castro
391,Paul-José Mpoku
397,Iván Piris
398,Ali Adnan
399,Adalberto Peñaranda
400,Marquinho
403,Jasmin Kurtic
404,Mauricio Pinilla
405,Franck Kessié
407,Isnik Alimi
411,Ibrahima Mbaye
413,Erick Pulgar
425,Ivan Vargic
426,Andrés Schetino
427,Mauro Zárate
428,Tino Costa
435,Tim Matavz
436,Bruno Gomes
437,David Milinkovic
438,Milan Skriniar
439,Éder
441,Norbert Balogh
442,Manuel Arteaga
444,Thiago Cionek
448,Nikola Ninkovic
449,Ryder Matos
450,Samir
451,Andrija Balic
452,Gaspar Iñíguez
453,Emil Hallfredsson
461,Guillermo Cotugno
464,Zé Luís
467,Sly
469,Christian Noboa
470,Ivan Maevskiy
471,Darko Lazic
473,Vukasin Jovanovic
474,Yuri Zhirkov
475,Fatos Beqiraj
476,Sebastian Holmén
477,Emil Bergström
478,Mijo Caktas
479,Mauricio Lemos
480,Lorenzo Melgarejo
481,Ezekiel Henty
483,Milad Mohammadi
490,Adama Diomande
497,Chris Long
507,Cristhian Stuani
508,Carlos de Pena
517,Piotr Malarczyk
522,Tom Ince
528,Naby Sarr
532,Fernando Forestieri
533,Marco Matias
534,Lucas João
537,Vincent Sasso
540,Jordan Botaka
542,Jordy Hiwula
546,Jazz Richards
549,Matej Vydra
550,Orlando Sá
551,Paolo Hurtado
556,Connor Goldson
561,Dusan Kuciak
565,Nasser El Khayati
567,Julien de Sart
569,Michal Zyro
573,Abdoul Camara
576,Luke Maxwell
577,Jorge Teixeira
584,Jiri Skalak
586,Arnold Garita
588,Pedro
590,Asmir Begovic
591,Kenedy
592,Falcao
594,Nathan
596,Raheem Sterling
597,Nicolás Otamendi
602,Rubén Sobrino
603,Petr Cech
609,Heung-min Son
611,Clinton N'Jie
614,Christian Benteke
615,Roberto Firmino
616,Nathaniel Clyne
617,Danny Ings
619,Taiwo Awoniyi
622,Oriol Romeu
623,Juanmi
624,Cédric Soares
626,Cuco Martina
631,Joselu
637,Ramiro Funes Mori
638,Gerard Deulofeu
641,Leandro Rodríguez
643,Angelo Ogbonna
645,Pedro Obiang
646,Nikica Jelavic
648,Salomón Rondón
653,Shinji Okazaki
655,Gökhan Inler
658,Aleksandar Mitrovic
660,Chancel Mbemba
664,Ricardo Álvarez
671,Idrissa Gueye
675,José Crespo
676,Tiago Ilori
678,Max Gradel
681,Étienne Capoue
682,José Manuel Jurado
683,Obbi Oulare
686,Jose Cholevas
691,Anthony Cáceres
692,Mohamed Elneny
693,Marko Grujic
696,Oumar Niasse
708,Jan Kirchhoff
711,Juan Iturbe
714,Steven Naismith
719,Aleix Vidal
720,Mateo Kovacic
721,Danilo
722,Kiko Casilla
723,Jesús Vallejo
724,Marco Asensio
725,Lucas Vázquez
726,Jackson Martínez
727,Stefan Savic
728,Yannick Carrasco
729,Luciano Vietto
730,Filipe Luís
731,Matías Kranevitter
733,Santos Borré
734,Rodrigo
735,Álvaro Negredo
737,André Gomes
738,João Cancelo
739,Santi Mina
740,Aderllan Santos
742,Yoel Rodríguez
743,Steven Nzonzi
744,Iago Aspas
746,Mariano
747,Sergio Escudero
750,Roberto Soldado
751,Samu Castillejo
752,Samu García
754,Denis Suárez
755,Víctor Ruiz
756,Adrián López
757,Raúl García
759,Dejan Drazic
761,Duje Cop
762,Charles
763,Gerard Moreno
764,Juan Carlos
765,Asier Illarramendi
766,Jonathas
767,Bruma
768,David Concha
769,Deyverson
770,Ángel Trujillo
771,Jefferson Lerma
772,Diego Mariño
773,Sidnei
774,Lucas Pérez
776,Edgar Méndez
777,Andrés Fernández
778,Thievy Bifouma
779,Takashi Inui
780,Jonathan Viera
781,Sergio Araujo
782,Alfredo Ortuño
783,Germán Pezzella
784,Petros
786,Joaquín
787,Francisco Portillo
789,Amro Tarek
790,Augusto Fernández
791,Marcelo Díaz
792,Federico Ricca
793,Miguel Cifuentes
794,Óscar Duarte
796,Mauricio Cuero
797,Álvaro Pereira
798,Kike García
800,Josip Radosevic
802,Jesé
818,Ronny Rodelin
819,Ismaël Diomandé
821,Afonso Figueiredo
822,Famara Diédhiou
823,Karl Toko Ekambi
826,Baptiste Santamaria
833,Tomas Hubocan
835,Mariusz Stepinski
836,Diego Carlos
839,Cafú
844,Jimmy Durmaz
849,Erick Cabaco
853,Gonçalo Guedes
854,Jorge
857,Gabriel Magalhães
858,Júnior Alonso
859,Xeka
863,Nordi Mukiele
864,Lukas Pokorny
867,Mathieu Peybernes
869,Chang-hoon Kwon
871,Renato Sanches
877,Raphaël Guerreiro
879,Marc Bartra
880,Mikel Merino
881,Aleksandar Dragovic
885,Danny da Costa
889,Lászlo Bénes
890,Breel Embolo
891,Coke
894,Levin Öztunali
897,José Rodríguez
899,André Ramalho
906,Borja Mayoral
907,Mario Gómez
909,Filip Kostic
910,Douglas Santos
911,Alen Halilovic
912,Bobby Wood
913,Luca Waldschmidt
917,Florent Hadergjonaj
919,Alfred Finnbogason
920,Takashi Usami
929,Alexander Milosevic
931,Andrej Kramaric
939,Omar Mascarell
940,Caglar Söyüncü
944,Rafal Gikiewicz
946,Naby Keïta
949,Bernardo
953,Leon Bailey
955,Julio Villalba
959,Marin Sverko
960,Yunus Malli
962,Paul-Georges Ntep
963,Victor Osimhen
964,Neven Subotic
965,Walace
966,Mergim Mavraj
969,Patrick Banggaard
970,Andersson Ordóñez
973,Dayot Upamecano
974,Rafa Silva
975,Franco Cervi
977,Guillermo Celis
978,André Horta
980,Alan Ruiz
981,Bruno Paulista
982,Elias
984,Radosav Petrovic
985,Douglas
986,André
987,Marcelo Meli
988,Felipe
992,Marko Bakic
993,Lazar Rosic
994,Nelson Bonilla
996,Filipe Augusto
997,Pedro Nuno
998,Tiquinho Soares
999,Rafael Assis
1000,Paulinho
1001,Carlinhos
1002,André Claro
1003,Rafael Martins
1004,Rafael Batatinha
1008,Mateo Cassierra
1009,Davinson Sánchez
1010,Bertrand Traoré
1011,Nicolai Jörgensen
1013,Fred Friday
1021,Kevin Mayi
1024,Yuki Kobayashi
1027,David Boysen
1029,David Neres
1030,Hervin Ongenda
1034,Ognjen Gnjatic
1036,Bryan Cabezas
1039,Ladislav Krejci
1042,Blerim Dzemaili
1044,Artur Ionita
1052,Simy
1055,Valentin Cojocaru
1057,Matheus Pereira
1059,Kevin Diks
1060,Bartlomiej Dragowski
1062,Hrvoje Milic
1063,Sebastien De Maio
1064,Cristian Tello
1065,Sebastián Cristóforo
1066,Diego Laxalt
1067,Giovanni Simeone
1071,Santiago Gentiletti
1072,João Mário
1073,Gabriel Barbosa
1076,Dodô
1077,Marcelo Brozovic
1079,Gonzalo Higuaín
1080,Miralem Pjanic
1082,Medhi Benatia
1083,Wallace
1084,Bastos
1085,Jordan Lukaku
1086,Luis Alberto
1087,Luiz Felipe
1088,Gustavo Gómez
1090,José Sosa
1091,Mario Pasalic
1092,Matías Fernández
1093,Piotr Zielinski
1095,Nikola Maksimovic
1097,Slobodan Rajkovic
1109,Alessio Di Massimo
1111,Gerson
1112,Alisson
1113,Mário Rui
1115,Juan Jesus
1116,Federico Fazio
1117,Bruno Peres
1125,Salvatore Lancia
1126,Bruno Fernandes
1128,Leandro Castán
1133,Pietro Cianci
1135,Sasa Lukic
1140,Ewandro Costa
1141,Rodrigo de Paul
1142,Pervis Estupiñán
1146,Juan Manuel Valencia
1147,Bruno Petkovic
1148,Maxwell Acosty
1158,Tomás Rincón
1160,Leandrinho
1162,Andrés Cubas
1164,Emerson
1165,Bartosz Bereszynski
1166,Lorenco Simic
1167,Carlão
1170,Jerry Mbakogu
1173,Delvin N'Dinga
1176,Dmitri Skopintsev
1178,Rubén Rochina
1180,Carlos Zambrano
1184,Gabriel Torje
1186,Wílker Ángel
1187,Kehinde Fatai
1190,Giuliano
1191,Robert Mak
1196,Cristian Ramírez
1197,Ari
1199,Michal Duris
1200,Denis Popovic
1205,Aleksandr Lomakin
1206,Hernani
1216,Mohamed Diame
