,Unnamed: 0,name,sofifa_id
0,0,Ángel Di María,183898
1,5,Sergi Darder,202648
2,9,Rafael,216547
3,11,Olivier Kemen,220175
4,12,Ivan Cavaleiro,212267
5,15,Rony Lopes,212692
6,17,Guido Carrillo,215334
7,18,Fabinho,209499
8,19,Gil Dias,229453
9,25,Lucas Ocampos,205632
10,28,Georges-Kevin N'Koudou,Nan
11,29,Rolando,225439
12,30,Mauricio Isla,Nan
13,31,Lucas Silva,247182
14,33,Robert Beric,212023
15,38,Pablo,198950
16,39,Milan Gajic,Nan
17,42,Casimir Ninga,231041
18,44,Eric Bauthéac,Nan
19,46,Junior Tallo,Nan
20,50,Serhou Guirassy,215441
21,51,Giovanni Sio,Nan
22,54,Juan Fernando Quintero,210513
23,64,Kolbeinn Sigthórsson,184255
24,67,Lorik Cana,Nan
25,70,Majeed Waris,198420
26,71,Benjamin Moukandjo,Nan
27,74,Somália,213556
28,75,Mauro Goicoechea,Nan
29,76,Christian Bekamenga,Nan
30,77,Jemerson,215792
31,78,Vágner Love,Nan
32,79,Ole Selnaes,Nan
33,81,Alexander Söderlund,201966
34,82,Malcom,258746
35,83,Mauro Arambarri,232665
36,84,Kermit Erasmus,Nan
37,90,Arturo Vidal,181872
38,91,Douglas Costa,Nan
39,97,Dante,158625
40,98,Francisco Rodríguez,214319
41,99,Carlos Ascues,Nan
42,101,Josip Drmic,Nan
43,106,Charles Aránguiz,199042
44,107,Chicharito,Nan
45,112,Ja-cheol Koo,Nan
46,117,Matija Nastasic,205362
47,118,Franco Di Santo,186405
48,119,Júnior Caiçara,192427
49,120,Pierre-Emile Höjbjerg,213648
50,122,Gonzalo Castro,Nan
51,124,Ju-ho Park,Nan
52,126,Eduardo Vargas,Nan
53,127,Fabian Schär,210047
54,129,Pavel Kaderabek,203605
55,131,Joelinton,223334
56,132,Felipe Pires,226706
57,133,Marko Maric,212973
58,134,Antonio Colak,220785
59,136,Lukas Hradecky,190941
60,137,David Abraham,Nan
61,138,Mijat Gacinovic,230564
62,141,Ulisses Garcia,223143
63,143,Yoshinori Muto,228717
64,146,Jhon Córdoba,Nan
65,149,Milos Jojic,Nan
66,151,Frederik Sörensen,Nan
67,154,Mevlüt Erdinc,Nan
68,156,Uffe Bech,Nan
69,157,Charlison Benschop,193057
70,158,Mitchell Langerak,182435
71,159,Toni Sunjic,201343
72,161,Przemyslaw Tyton,176094
73,164,Vladimir Darida,201262
74,166,Lewis Holtby,188154
75,171,Gotoku Sakai,207472
76,172,Batuhan Altintas,Nan
77,175,Örjan Nyland,185427
78,178,Mario Vrancic,177896
79,181,Serdar Tasci,Nan
80,182,Bruno Henrique,216813
81,189,Marco Fabián,Nan
82,193,Papy Djilobodji,197937
83,199,Filip Mladenovic,221969
84,202,Hotaru Yamaguchi,222987
85,209,Raúl Jiménez,204838
86,212,Jhon Murillo,228738
87,213,Ederson,210257
88,214,Diego Lopes,Nan
89,215,Giannelli Imbula,197681
90,216,Jesús Corona,193165
91,217,Danilo Pereira,200888
92,218,André André,199626
93,219,Sérgio Oliveira,198031
94,220,Miguel Layún,178322
95,221,Teófilo Gutiérrez,Nan
96,222,Naldo,20801
97,223,Ewerton,207943
98,224,Bryan Ruíz,261505
99,225,Alef,Nan
100,226,Nikola Stojiljkovic,230094
101,227,Ahmed Hassan,210259
102,228,Crislan,Nan
103,229,Rodrigo Pinho,229683
104,230,Ricardo Ferreira,184139
105,231,Arghus,Nan
106,232,William Pottker,Nan
107,233,Tozé,184843
108,234,Dalbert,229148
109,235,Henrique Dourado,215553
110,236,Betinho,Nan
111,237,Filip Krovinovic,230988
112,238,Edimar,Nan
113,239,Léo Bonatini,220685
114,240,Luka Jovic,232432
115,241,Alejandro Grimaldo,210035
116,243,Hyun-jun Suk,Nan
117,245,Sebastián Coates,197655
118,246,Marafona,200798
119,247,Gastón Pereiro,229636
120,249,Héctor Moreno,173432
121,250,Andrés Guardado,171897
122,259,Rajko Brezancic,Nan
123,261,Eric Botteghin,Nan
124,264,Sheran Yeini,Nan
125,267,Luka Zahovic,230046
126,283,Renato Tapia,220673
127,284,Kosuke Ota,231885
128,286,Alexander Sörloth,216549
129,289,Paulo Dybala,211110
130,290,Alex Sandro,191043
131,291,Mario Mandzukic,Nan
132,293,Roberto Pereyra,193061
133,294,Hernanes,Nan
134,297,Juan Cuadrado,193082
135,298,Andrés Tello,222573
136,299,Mame Thiam,217007
137,300,Joyce Anacoura,Nan
138,304,Leandro Paredes,207439
139,305,Víctor Ibarbo,Nan
140,306,Mohamed Salah,209331
141,307,Ezequiel Ponce,220715
142,308,Nemanja Radonjic,243656
143,309,Edin Dzeko,180930
144,312,Iago Falque,Nan
145,315,Norbert Gyomber,220061
146,316,Umar Sadiq,231627
147,317,Sergej Milinkovic-Savic,223848
148,318,Dusan Basta,Nan
149,319,Ricardo Kishna,Nan
150,320,Maurício,204691
151,321,Patric,178005
152,322,Mario Suárez,171018
153,323,Nikola Kalinic,185431
154,324,Jaime Báez,Nan
155,325,Gilberto,211567
156,327,Jakub Blaszczykowski,164994
157,330,Allan,199914
158,331,Vlad Chiriches,205943
159,334,Pepe Reina,24630
160,339,Michael Ventre,Nan
161,341,Diego Capel,Nan
162,342,Cristian Ansaldi,173306
163,344,Luis Muriel,199110
164,345,Fernando,184134
165,346,Ervin Zukanovic,190931
166,347,Lucas Torreira,223959
167,348,Alfred Duncan,208535
168,350,Pedro Pereira,230824
169,352,Ivan Perisic,181458
170,354,Jeison Murillo,201377
171,355,Felipe Melo,Nan
172,356,Miranda,240915
173,358,Vincenzo Tommasone,Nan
174,359,Stevan Jovetic,181820
175,360,Adem Ljajic,190544
176,361,Alex Telles,212462
177,362,Martín Montoya,194644
178,367,Joel Obi,193337
179,368,Danilo Avelar,Nan
180,369,Salvador Ichazo,Nan
181,370,Carlos Bacca,207664
182,372,Luiz Adriano,Nan
183,379,Matheus Cassini,Nan
184,383,Grégoire Defrel,202851
185,385,Giovanni Sbrissa,Nan
186,387,Filip Helander,207555
187,390,Lucas Castro,205633
188,391,Paul-José Mpoku,187858
189,397,Iván Piris,204977
190,398,Ali Adnan,223198
191,399,Adalberto Peñaranda,231638
192,400,Marquinho,207865
193,403,Jasmin Kurtic,202061
194,404,Mauricio Pinilla,Nan
195,405,Franck Kessié,Nan
196,407,Isnik Alimi,Nan
197,411,Ibrahima Mbaye,210320
198,413,Erick Pulgar,213629
199,425,Ivan Vargic,Nan
200,426,Andrés Schetino,233564
201,427,Mauro Zárate,Nan
202,428,Tino Costa,Nan
203,435,Tim Matavz,Nan
204,436,Bruno Gomes,Nan
205,437,David Milinkovic,Nan
206,438,Milan Skriniar,232363
207,439,Éder,210257
208,441,Norbert Balogh,Nan
209,442,Manuel Arteaga,Nan
210,444,Thiago Cionek,Nan
211,448,Nikola Ninkovic,Nan
212,449,Ryder Matos,Nan
213,450,Samir,162835
214,451,Andrija Balic,Nan
215,452,Gaspar Iñíguez,Nan
216,453,Emil Hallfredsson,Nan
217,461,Guillermo Cotugno,Nan
218,464,Zé Luís,203757
219,467,Sly,Nan
220,469,Christian Noboa,Nan
221,470,Ivan Maevskiy,Nan
222,471,Darko Lazic,Nan
223,473,Vukasin Jovanovic,Nan
224,474,Yuri Zhirkov,Nan
225,475,Fatos Beqiraj,Nan
226,476,Sebastian Holmén,209063
227,477,Emil Bergström,202060
228,478,Mijo Caktas,232241
229,479,Mauricio Lemos,229270
230,480,Lorenzo Melgarejo,Nan
231,481,Ezekiel Henty,Nan
232,483,Milad Mohammadi,233218
233,490,Adama Diomande,Nan
234,497,Chris Long,216795
235,507,Cristhian Stuani,186537
236,508,Carlos de Pena,231012
237,517,Piotr Malarczyk,Nan
238,522,Tom Ince,200521
239,528,Naby Sarr,212420
240,532,Fernando Forestieri,178628
241,533,Marco Matias,Nan
242,534,Lucas João,210556
243,537,Vincent Sasso,188538
244,540,Jordan Botaka,Nan
245,542,Jordy Hiwula,216322
246,546,Jazz Richards,Nan
247,549,Matej Vydra,198331
248,550,Orlando Sá,Nan
249,551,Paolo Hurtado,Nan
250,556,Connor Goldson,199580
251,561,Dusan Kuciak,185405
252,565,Nasser El Khayati,Nan
253,567,Julien de Sart,217287
254,569,Michal Zyro,200346
255,573,Abdoul Camara,Nan
256,576,Luke Maxwell,Nan
257,577,Jorge Teixeira,199674
258,584,Jiri Skalak,Nan
259,586,Arnold Garita,Nan
260,588,Pedro,210514
261,590,Asmir Begovic,172723
262,591,Kenedy,230407
263,592,Falcao,167397
264,594,Nathan,210455
265,596,Raheem Sterling,202652
266,597,Nicolás Otamendi,192366
267,602,Rubén Sobrino,208622
268,603,Petr Cech,Nan
269,609,Heung-min Son,Nan
270,611,Clinton N'Jie,Nan
271,614,Christian Benteke,184111
272,615,Roberto Firmino,201942
