,0,1
0,End of loan-,7
1,"End of loanApr 1, 1993",4
2,"End of loanApr 1, 1996",4
3,"End of loanApr 1, 1997",10
4,"End of loanApr 1, 1998",5
5,"End of loanApr 1, 1999",10
6,"End of loanApr 1, 2000",1
7,"End of loanApr 1, 2002",29
8,"End of loanApr 1, 2003",8
9,"End of loanApr 1, 2004",7
10,"End of loanApr 1, 2005",5
11,"End of loanApr 1, 2006",21
12,"End of loanApr 1, 2007",46
13,"End of loanApr 1, 2008",21
14,"End of loanApr 1, 2009",4
15,"End of loanApr 1, 2010",6
16,"End of loanApr 1, 2011",17
17,"End of loanApr 1, 2012",28
18,"End of loanApr 1, 2013",2
19,"End of loanApr 1, 2014",1
20,"End of loanApr 1, 2015",1
21,"End of loanApr 10, 2006",1
22,"End of loanApr 10, 2007",7
23,"End of loanApr 10, 2008",1
24,"End of loanApr 10, 2012",3
25,"End of loanApr 10, 2015",2
26,"End of loanApr 10, 2017",1
27,"End of loanApr 10, 2018",1
28,"End of loanApr 10, 2020",1
29,"End of loanApr 11, 2007",1
30,"End of loanApr 11, 2011",3
31,"End of loanApr 11, 2012",3
32,"End of loanApr 11, 2013",3
33,"End of loanApr 11, 2015",1
34,"End of loanApr 11, 2018",2
35,"End of loanApr 12, 2001",2
36,"End of loanApr 12, 2010",2
37,"End of loanApr 12, 2014",6
38,"End of loanApr 12, 2015",1
39,"End of loanApr 12, 2017",1
40,"End of loanApr 12, 2018",1
41,"End of loanApr 13, 2012",1
42,"End of loanApr 13, 2013",1
43,"End of loanApr 13, 2014",1
44,"End of loanApr 14, 1999",2
45,"End of loanApr 14, 2011",1
46,"End of loanApr 14, 2012",1
47,"End of loanApr 14, 2016",3
48,"End of loanApr 14, 2017",1
49,"End of loanApr 15, 2001",1
50,"End of loanApr 15, 2009",1
51,"End of loanApr 15, 2013",4
52,"End of loanApr 15, 2018",1
53,"End of loanApr 15, 2019",1
54,"End of loanApr 16, 2007",1
55,"End of loanApr 16, 2008",1
56,"End of loanApr 16, 2013",1
57,"End of loanApr 16, 2014",1
58,"End of loanApr 17, 2007",2
59,"End of loanApr 17, 2014",3
60,"End of loanApr 17, 2015",3
61,"End of loanApr 18, 1999",2
62,"End of loanApr 18, 2005",1
63,"End of loanApr 18, 2011",1
64,"End of loanApr 18, 2012",2
65,"End of loanApr 18, 2013",3
66,"End of loanApr 18, 2014",1
67,"End of loanApr 18, 2015",2
68,"End of loanApr 18, 2016",2
69,"End of loanApr 19, 1997",3
70,"End of loanApr 19, 1999",1
71,"End of loanApr 19, 2007",1
72,"End of loanApr 19, 2010",2
73,"End of loanApr 19, 2011",1
74,"End of loanApr 19, 2012",3
75,"End of loanApr 19, 2015",2
76,"End of loanApr 19, 2016",1
77,"End of loanApr 19, 2019",1
78,"End of loanApr 2, 2010",1
79,"End of loanApr 2, 2013",1
80,"End of loanApr 2, 2014",1
81,"End of loanApr 2, 2015",3
82,"End of loanApr 2, 2019",1
83,"End of loanApr 20, 2002",1
84,"End of loanApr 20, 2008",1
85,"End of loanApr 20, 2009",1
86,"End of loanApr 20, 2015",3
87,"End of loanApr 20, 2019",1
88,"End of loanApr 21, 2002",11
89,"End of loanApr 21, 2012",1
90,"End of loanApr 21, 2013",2
91,"End of loanApr 21, 2014",3
92,"End of loanApr 21, 2015",3
93,"End of loanApr 21, 2016",4
94,"End of loanApr 22, 1999",1
95,"End of loanApr 22, 2002",1
96,"End of loanApr 22, 2003",1
97,"End of loanApr 22, 2007",1
98,"End of loanApr 22, 2011",4
99,"End of loanApr 22, 2012",1
100,"End of loanApr 22, 2014",1
101,"End of loanApr 22, 2015",2
102,"End of loanApr 22, 2016",1
103,"End of loanApr 22, 2020",4
104,"End of loanApr 23, 2004",2
105,"End of loanApr 23, 2006",2
106,"End of loanApr 23, 2008",2
107,"End of loanApr 23, 2010",4
108,"End of loanApr 23, 2013",2
109,"End of loanApr 23, 2016",1
110,"End of loanApr 23, 2018",1
111,"End of loanApr 24, 2002",1
112,"End of loanApr 24, 2005",2
113,"End of loanApr 24, 2011",1
114,"End of loanApr 24, 2013",5
115,"End of loanApr 24, 2014",2
116,"End of loanApr 24, 2015",3
117,"End of loanApr 25, 2004",1
118,"End of loanApr 25, 2010",1
119,"End of loanApr 25, 2016",1
120,"End of loanApr 25, 2018",1
121,"End of loanApr 25, 2020",2
122,"End of loanApr 26, 1994",2
123,"End of loanApr 26, 1997",1
124,"End of loanApr 26, 1998",3
125,"End of loanApr 26, 1999",2
126,"End of loanApr 26, 2011",1
127,"End of loanApr 26, 2012",1
128,"End of loanApr 26, 2014",5
129,"End of loanApr 26, 2015",4
130,"End of loanApr 27, 1998",1
131,"End of loanApr 27, 2002",2
132,"End of loanApr 27, 2005",1
133,"End of loanApr 27, 2008",5
134,"End of loanApr 27, 2009",1
135,"End of loanApr 27, 2013",6
136,"End of loanApr 27, 2014",1
137,"End of loanApr 27, 2018",1
138,"End of loanApr 28, 1995",1
139,"End of loanApr 28, 2000",1
140,"End of loanApr 28, 2002",2
141,"End of loanApr 28, 2006",2
142,"End of loanApr 28, 2008",1
