index,name
20,Lionel Messi
60,Robert Lewandowski
101,Cristiano Ronaldo
102,Kylian Mbappé
103,Neymar Jr
105,Jan Oblak
117,Kevin De Bruyne
163,Manuel Neuer
173,ter Stegen
174,N'Golo Kanté
175,Harry Kane
237,Casemiro
238,Thibaut Courtois
239,Karim Benzema
240,Joshua Kimmich
241,Gianluigi Donnarumma
243,Heung Min Son
244,Sadio Mané
245,Alisson
246,Virgil van Dijk
247,Mohamed Salah
248,Ederson
300,Bruno Fernandes
301,Erling Haaland
302,Sergio Ramos García
303,Keylor Navas
304,Luis Suárez
311,Romelu Lukaku
312,Toni Kroos
313,Raheem Sterling
323,Ciro Immobile
343,Paulo Dybala
345,Wojciech Szczesny
380,Leon Goretzka
381,Thomas Müller
382,Jadon Sancho
383,Marco Verratti
384,Ángel Di María
385,Marquinhos
386,Sergio Agüero
387,Frenkie de Jong
397,Luka Modric
399,Hugo Lloris
400,Paul Pogba
401,Andrew Robertson
402,Trent Alexander-Arnold
403,Rúben Dias
480,Giorgio Chiellini
501,Marcos Llorente
503,Koen Casteels
504,Jordi Alba Ramos
505,Sergio Busquets Burgos
506,Daniel Parejo Muñoz
507,Gerard Moreno Balagueró
508,Jamie Vardy
509,Lorenzo Insigne
510,Kalidou Koulibaly
520,Kingsley Coman
521,Raphaël Varane
522,Mats Hummels
523,Milan Škriniar
524,Samir Handanovic
526,Fabinho
527,Thiago
528,Bernardo Silva
529,Aymeric Laporte
530,Rodrigo
531,Riyad Mahrez
532,João Cancelo
561,Sergej Milinkovic-Savic
565,Leonardo Bonucci
566,Matthijs de Ligt
600,Serge Gnabry
601,Edinson Cavani
602,Marco Reus
603,Yann Sommer
604,Achraf Hakimi
605,Jorge Resurrección
606,David Silva
607,Antoine Griezmann
608,Mikel Oyarzabal Ugarte
609,Péter Gulácsi
610,Alejandro Gómez
611,Memphis Depay
613,Lautaro Martínez
614,Stefan de Vrij
615,Wilfred Ndidi
616,Carvajal
617,Kasper Schmeichel
618,Eden Hazard
620,Aubameyang
621,Marcus Rashford
622,Thiago Silva
623,Luiz Frello Filho Jorge
624,Roberto Firmino
625,Kyle Walker
626,Ilkay Gündogan
686,Luis Alberto
688,Josip Iličić
702,Felipe
